PARCELA;SUB-PARCELA ;ESTRATO;IND. No.;NOMBRE COMUN;NOMBRE CIENTIFICO;FAMILIA;ALTURA TOTAL (m);ALTURA COMERCIAL  (m);CAP (cm);DAP (m);A.B. TOTAL (m2);V. COMERCIAL (m3);V. TOTAL (m3);DIAM. COPA X (m);DIAM. COPA Y (m);COORDENADA E;COORDENADA N
3r;4;Fustal;19;Pata e paujil;Matayba cf. guianensis Aubl.;Sapindaceae;9;3;38;0,12;0,0115;0,0224;0,0672;7;6;962846,568;912981,4182
3r;4;Fustal;20;Cuero e sapo;Pseudolmedia laevis (Ruiz & Pav.) J.F.Macbr.;Moraceae;16;12;76;0,24;0,0460;0,3585;0,4780;8;8;962842,685;912993,5836
3r;4;Fustal;21;Cuero e sapo;Pseudolmedia laevis (Ruiz & Pav.) J.F.Macbr.;Moraceae;20;12;129;0,41;0,1324;1,0329;1,7215;12;12;962858,2376;912998,1851
3r;4;Fustal;22;Palma Araco;Socratea exorrhiza (Mart.) H.Wendl.;Arecaceae;16;14;38;0,12;0,0115;0,1046;0,1195;3;3;962852,6849;913001,1361
3r;4;Fustal;23;NN 3;Miconia prasina (Sw.) DC.;Melastomataceae;10;5;47;0,15;0,0176;0,0571;0,1143;8;7;962859,1617;912994,1301
3r;4;Fustal;24;Cuero e sapo;Pseudolmedia laevis (Ruiz & Pav.) J.F.Macbr.;Moraceae;14;8;57;0,18;0,0259;0,1344;0,2353;9;9;962857,4927;912986,943
3r;4;Fustal;25;NN 17;Ampelocera edentula Kuhlm.;Ulmaceae;15;10;69;0,22;0,0379;0,2463;0,3694;8;8;962857,3074;912986,3902
3r;4;Fustal;26;NN 3;Miconia prasina (Sw.) DC.;Melastomataceae;9;4;35;0,11;0,0097;0,0253;0,0570;8;7;962853,05;912987,8663
3r;4;Fustal;27;Cuero e sapo;Pseudolmedia laevis (Ruiz & Pav.) J.F.Macbr.;Moraceae;12;8;45;0,14;0,0161;0,0838;0,1257;7;8;962850,6425;912985,6556
3r;4;Fustal;28;Cuero e sapo;Pseudolmedia laevis (Ruiz & Pav.) J.F.Macbr.;Moraceae;11;8;41;0,13;0,0134;0,0696;0,0956;6;6;962868,7856;912986,9386
3r;5;Fustal;29;Palma cucurita;Attalea maripa (Aubl.) Mart.;Arecaceae;19;16;59;0,19;0,0277;0,2881;0,3421;5;5;962863,2314;912986,2036
3r;5;Fustal;30;Pata e paujil;Matayba cf. guianensis Aubl.;Sapindaceae;6;2,8;40;0,13;0,0127;0,0232;0,0497;3;4;962863,787;912986,572
3r;5;Fustal;31;Palma cucurita;Attalea maripa (Aubl.) Mart.;Arecaceae;14;10;56;0,18;0,0250;0,1622;0,2271;5;5;962864,7127;912986,9402
3r;5;Fustal;32;Reventillo;Mabea trianae Pax;Euphorbiaceae;14;8;45;0,14;0,0161;0,0838;0,1466;6;7;962870,0801;912983,4364
3r;5;Fustal;33;NN 17;Ampelocera edentula Kuhlm.;Ulmaceae;16;12;57;0,18;0,0259;0,2017;0,2689;8;8;962878,0406;912983,4333
3r;5;Fustal;34;Palma Araco;Socratea exorrhiza (Mart.) H.Wendl.;Arecaceae;12;8;38;0,12;0,0115;0,0598;0,0896;4;4;962882,1135;912983,616
3r;5;Fustal;35;Palma cucurita;Attalea maripa (Aubl.) Mart.;Arecaceae;13;7;84;0,27;0,0561;0,2555;0,4745;9;8;962883,2248;912984,9057
3r;5;Fustal;36;Palma cucurita;Attalea maripa (Aubl.) Mart.;Arecaceae;14;10;54;0,17;0,0232;0,1508;0,2112;6;7;962883,0393;912983,9843
3r;5;Fustal;37;Cuero e sapo;Pseudolmedia laevis (Ruiz & Pav.) J.F.Macbr.;Moraceae;15;10;69;0,22;0,0379;0,2463;0,3694;8;7;962887,1113;912981,7711
